#    L    TT             EE             BB             TE         
    90    2.39298e+03    6.24709e-01    4.02420e-03    -1.66010e+01
    91    2.42190e+03    6.40306e-01    4.11111e-03    -1.72306e+01
    92    2.45104e+03    6.55889e-01    4.19891e-03    -1.78653e+01
    93    2.48041e+03    6.71442e-01    4.28761e-03    -1.85044e+01
    94    2.50999e+03    6.86954e-01    4.37719e-03    -1.91478e+01
    95    2.53980e+03    7.02409e-01    4.46768e-03    -1.97950e+01
    96    2.56984e+03    7.17793e-01    4.55905e-03    -2.04454e+01
    97    2.60011e+03    7.33091e-01    4.65133e-03    -2.10987e+01
    98    2.63060e+03    7.48287e-01    4.74450e-03    -2.17544e+01
    99    2.66131e+03    7.63369e-01    4.83858e-03    -2.24121e+01
   100    2.69223e+03    7.78324e-01    4.93355e-03    -2.30711e+01
   101    2.72337e+03    7.93138e-01    5.02943e-03    -2.37309e+01
   102    2.75473e+03    8.07788e-01    5.12622e-03    -2.43913e+01
   103    2.78628e+03    8.22274e-01    5.22392e-03    -2.50515e+01
   104    2.81803e+03    8.36568e-01    5.32252e-03    -2.57110e+01
   105    2.84997e+03    8.50661e-01    5.42204e-03    -2.63694e+01
   106    2.88209e+03    8.64540e-01    5.52248e-03    -2.70258e+01
   107    2.91439e+03    8.78197e-01    5.62383e-03    -2.76799e+01
   108    2.94684e+03    8.91609e-01    5.72610e-03    -2.83311e+01
   109    2.97946e+03    9.04770e-01    5.82930e-03    -2.89787e+01
   110    3.01223e+03    9.17658e-01    5.93342e-03    -2.96223e+01
   111    3.04515e+03    9.30265e-01    6.03847e-03    -3.02614e+01
   112    3.07820e+03    9.42583e-01    6.14445e-03    -3.08951e+01
   113    3.11139e+03    9.54592e-01    6.25136e-03    -3.15232e+01
   114    3.14471e+03    9.66275e-01    6.35921e-03    -3.21450e+01
   115    3.17814e+03    9.77633e-01    6.46800e-03    -3.27599e+01
   116    3.21170e+03    9.88652e-01    6.57773e-03    -3.33674e+01
   117    3.24536e+03    9.99309e-01    6.68841e-03    -3.39670e+01
   118    3.27913e+03    1.00960e+00    6.80003e-03    -3.45580e+01
   119    3.31299e+03    1.01952e+00    6.91261e-03    -3.51400e+01
   120    3.34694e+03    1.02905e+00    7.02613e-03    -3.57125e+01
   121    3.38097e+03    1.03819e+00    7.14062e-03    -3.62747e+01
   122    3.41507e+03    1.04692e+00    7.25606e-03    -3.68263e+01
   123    3.44924e+03    1.05523e+00    7.37247e-03    -3.73667e+01
   124    3.48347e+03    1.06312e+00    7.48985e-03    -3.78953e+01
   125    3.51774e+03    1.07058e+00    7.60819e-03    -3.84116e+01
   126    3.55205e+03    1.07760e+00    7.72750e-03    -3.89151e+01
   127    3.58640e+03    1.08417e+00    7.84779e-03    -3.94052e+01
   128    3.62077e+03    1.09028e+00    7.96905e-03    -3.98816e+01
   129    3.65516e+03    1.09594e+00    8.09129e-03    -4.03436e+01
   130    3.68956e+03    1.10113e+00    8.21452e-03    -4.07906e+01
   131    3.72395e+03    1.10584e+00    8.33873e-03    -4.12223e+01
   132    3.75835e+03    1.11008e+00    8.46392e-03    -4.16381e+01
   133    3.79272e+03    1.11384e+00    8.59011e-03    -4.20376e+01
   134    3.82707e+03    1.11712e+00    8.71728e-03    -4.24202e+01
   135    3.86139e+03    1.11991e+00    8.84545e-03    -4.27855e+01
   136    3.89567e+03    1.12222e+00    8.97462e-03    -4.31331e+01
   137    3.92991e+03    1.12403e+00    9.10478e-03    -4.34623e+01
   138    3.96410e+03    1.12535e+00    9.23594e-03    -4.37728e+01
   139    3.99821e+03    1.12618e+00    9.36811e-03    -4.40643e+01
   140    4.03227e+03    1.12652e+00    9.50127e-03    -4.43362e+01
   141    4.06625e+03    1.12639e+00    9.63544e-03    -4.45883e+01
   142    4.10013e+03    1.12575e+00    9.77062e-03    -4.48199e+01
   143    4.13394e+03    1.12464e+00    9.90680e-03    -4.50309e+01
   144    4.16763e+03    1.12305e+00    1.00440e-02    -4.52207e+01
   145    4.20121e+03    1.12097e+00    1.01822e-02    -4.53889e+01
   146    4.23466e+03    1.11843e+00    1.03214e-02    -4.55352e+01
   147    4.26797e+03    1.11542e+00    1.04616e-02    -4.56591e+01
   148    4.30112e+03    1.11195e+00    1.06028e-02    -4.57603e+01
   149    4.33409e+03    1.10803e+00    1.07450e-02    -4.58383e+01
   150    4.36689e+03    1.10366e+00    1.08883e-02    -4.58927e+01
   151    4.39947e+03    1.09885e+00    1.10325e-02    -4.59232e+01
   152    4.43186e+03    1.09361e+00    1.11778e-02    -4.59296e+01
   153    4.46403e+03    1.08796e+00    1.13240e-02    -4.59115e+01
   154    4.49598e+03    1.08191e+00    1.14713e-02    -4.58687e+01
   155    4.52771e+03    1.07545e+00    1.16196e-02    -4.58010e+01
   156    4.55922e+03    1.06862e+00    1.17688e-02    -4.57081e+01
   157    4.59050e+03    1.06141e+00    1.19191e-02    -4.55898e+01
   158    4.62153e+03    1.05385e+00    1.20703e-02    -4.54458e+01
   159    4.65232e+03    1.04594e+00    1.22226e-02    -4.52760e+01
   160    4.68285e+03    1.03770e+00    1.23759e-02    -4.50801e+01
   161    4.71310e+03    1.02916e+00    1.25301e-02    -4.48579e+01
   162    4.74307e+03    1.02032e+00    1.26853e-02    -4.46092e+01
   163    4.77273e+03    1.01122e+00    1.28415e-02    -4.43339e+01
   164    4.80208e+03    1.00185e+00    1.29987e-02    -4.40317e+01
   165    4.83110e+03    9.92233e-01    1.31569e-02    -4.37025e+01
   166    4.85979e+03    9.82399e-01    1.33160e-02    -4.33462e+01
   167    4.88814e+03    9.72366e-01    1.34761e-02    -4.29626e+01
   168    4.91613e+03    9.62158e-01    1.36371e-02    -4.25518e+01
   169    4.94377e+03    9.51796e-01    1.37991e-02    -4.21136e+01
   170    4.97103e+03    9.41296e-01    1.39621e-02    -4.16480e+01
   171    4.99792e+03    9.30688e-01    1.41260e-02    -4.11549e+01
   172    5.02442e+03    9.19993e-01    1.42908e-02    -4.06343e+01
   173    5.05053e+03    9.09234e-01    1.44566e-02    -4.00862e+01
   174    5.07623e+03    8.98434e-01    1.46233e-02    -3.95105e+01
   175    5.10152e+03    8.87629e-01    1.47909e-02    -3.89073e+01
   176    5.12638e+03    8.76835e-01    1.49594e-02    -3.82767e+01
   177    5.15082e+03    8.66089e-01    1.51288e-02    -3.76186e+01
   178    5.17481e+03    8.55414e-01    1.52991e-02    -3.69331e+01
