#    L    TT             EE             BB             TE          
    89    0.13815E+01    0.94186E-03    0.65835E-03   -0.27842E-01
    90    0.13424E+01    0.94753E-03    0.65798E-03   -0.27626E-01
    91    0.13038E+01    0.95284E-03    0.65730E-03   -0.27394E-01
    92    0.12658E+01    0.95778E-03    0.65632E-03   -0.27147E-01
    93    0.12283E+01    0.96236E-03    0.65504E-03   -0.26886E-01
    94    0.11914E+01    0.96657E-03    0.65347E-03   -0.26612E-01
    95    0.11550E+01    0.97041E-03    0.65161E-03   -0.26324E-01
    96    0.11192E+01    0.97389E-03    0.64948E-03   -0.26023E-01
    97    0.10840E+01    0.97700E-03    0.64708E-03   -0.25711E-01
    98    0.10494E+01    0.97975E-03    0.64441E-03   -0.25386E-01
    99    0.10154E+01    0.98212E-03    0.64148E-03   -0.25051E-01
   100    0.98200E+00    0.98413E-03    0.63830E-03   -0.24705E-01
   101    0.94919E+00    0.98577E-03    0.63487E-03   -0.24349E-01
   102    0.91699E+00    0.98704E-03    0.63121E-03   -0.23983E-01
   103    0.88542E+00    0.98794E-03    0.62731E-03   -0.23608E-01
   104    0.85447E+00    0.98847E-03    0.62318E-03   -0.23224E-01
   105    0.82416E+00    0.98863E-03    0.61884E-03   -0.22832E-01
   106    0.79449E+00    0.98842E-03    0.61427E-03   -0.22432E-01
   107    0.76546E+00    0.98783E-03    0.60950E-03   -0.22026E-01
   108    0.73710E+00    0.98688E-03    0.60453E-03   -0.21613E-01
   109    0.70939E+00    0.98556E-03    0.59937E-03   -0.21193E-01
   110    0.68235E+00    0.98386E-03    0.59401E-03   -0.20768E-01
   111    0.65599E+00    0.98179E-03    0.58847E-03   -0.20338E-01
   112    0.63030E+00    0.97935E-03    0.58276E-03   -0.19903E-01
   113    0.60527E+00    0.97656E-03    0.57687E-03   -0.19464E-01
   114    0.58090E+00    0.97341E-03    0.57083E-03   -0.19022E-01
   115    0.55719E+00    0.96991E-03    0.56464E-03   -0.18576E-01
   116    0.53412E+00    0.96607E-03    0.55831E-03   -0.18127E-01
   117    0.51170E+00    0.96189E-03    0.55184E-03   -0.17676E-01
   118    0.48991E+00    0.95739E-03    0.54524E-03   -0.17223E-01
   119    0.46876E+00    0.95256E-03    0.53853E-03   -0.16769E-01
   120    0.44823E+00    0.94741E-03    0.53170E-03   -0.16314E-01
   121    0.42833E+00    0.94195E-03    0.52477E-03   -0.15859E-01
   122    0.40904E+00    0.93619E-03    0.51775E-03   -0.15403E-01
   123    0.39036E+00    0.93012E-03    0.51064E-03   -0.14948E-01
   124    0.37229E+00    0.92377E-03    0.50345E-03   -0.14494E-01
   125    0.35482E+00    0.91713E-03    0.49618E-03   -0.14041E-01
   126    0.33794E+00    0.91020E-03    0.48886E-03   -0.13590E-01
   127    0.32165E+00    0.90300E-03    0.48148E-03   -0.13142E-01
   128    0.30594E+00    0.89554E-03    0.47405E-03   -0.12696E-01
   129    0.29081E+00    0.88781E-03    0.46659E-03   -0.12254E-01
   130    0.27626E+00    0.87982E-03    0.45909E-03   -0.11815E-01
   131    0.26227E+00    0.87159E-03    0.45157E-03   -0.11381E-01
   132    0.24884E+00    0.86311E-03    0.44403E-03   -0.10951E-01
   133    0.23595E+00    0.85441E-03    0.43648E-03   -0.10525E-01
   134    0.22360E+00    0.84548E-03    0.42892E-03   -0.10105E-01
   135    0.21177E+00    0.83635E-03    0.42137E-03   -0.96893E-02
   136    0.20045E+00    0.82701E-03    0.41383E-03   -0.92793E-02
   137    0.18964E+00    0.81748E-03    0.40629E-03   -0.88748E-02
   138    0.17931E+00    0.80777E-03    0.39878E-03   -0.84761E-02
   139    0.16946E+00    0.79789E-03    0.39129E-03   -0.80834E-02
   140    0.16009E+00    0.78785E-03    0.38383E-03   -0.76969E-02
   141    0.15117E+00    0.77765E-03    0.37641E-03   -0.73169E-02
   142    0.14269E+00    0.76731E-03    0.36904E-03   -0.69436E-02
   143    0.13465E+00    0.75685E-03    0.36171E-03   -0.65772E-02
   144    0.12704E+00    0.74625E-03    0.35444E-03   -0.62180E-02
   145    0.11984E+00    0.73555E-03    0.34723E-03   -0.58661E-02
   146    0.11304E+00    0.72474E-03    0.34009E-03   -0.55218E-02
   147    0.10663E+00    0.71384E-03    0.33302E-03   -0.51853E-02
   148    0.10060E+00    0.70286E-03    0.32603E-03   -0.48569E-02
   149    0.94947E-01    0.69180E-03    0.31913E-03   -0.45367E-02
   150    0.89648E-01    0.68068E-03    0.31232E-03   -0.42250E-02
   151    0.84696E-01    0.66950E-03    0.30561E-03   -0.39220E-02
   152    0.80082E-01    0.65828E-03    0.29899E-03   -0.36277E-02
   153    0.75795E-01    0.64703E-03    0.29248E-03   -0.33420E-02
   154    0.71825E-01    0.63574E-03    0.28607E-03   -0.30649E-02
   155    0.68161E-01    0.62443E-03    0.27977E-03   -0.27965E-02
   156    0.64795E-01    0.61311E-03    0.27358E-03   -0.25366E-02
   157    0.61716E-01    0.60178E-03    0.26749E-03   -0.22853E-02
   158    0.58913E-01    0.59045E-03    0.26152E-03   -0.20425E-02
   159    0.56376E-01    0.57914E-03    0.25566E-03   -0.18081E-02
   160    0.54096E-01    0.56784E-03    0.24991E-03   -0.15823E-02
   161    0.52063E-01    0.55658E-03    0.24429E-03   -0.13648E-02
   162    0.50265E-01    0.54534E-03    0.23878E-03   -0.11557E-02
   163    0.48694E-01    0.53415E-03    0.23339E-03   -0.95504E-03
   164    0.47338E-01    0.52301E-03    0.22812E-03   -0.76268E-03
   165    0.46188E-01    0.51194E-03    0.22298E-03   -0.57863E-03
   166    0.45234E-01    0.50092E-03    0.21797E-03   -0.40285E-03
   167    0.44466E-01    0.48999E-03    0.21309E-03   -0.23532E-03
   168    0.43873E-01    0.47914E-03    0.20833E-03   -0.76016E-04
   169    0.43446E-01    0.46837E-03    0.20371E-03    0.75101E-04
   170    0.43174E-01    0.45771E-03    0.19922E-03    0.21806E-03
   171    0.43047E-01    0.44716E-03    0.19487E-03    0.35288E-03
   172    0.43055E-01    0.43672E-03    0.19066E-03    0.47960E-03
   173    0.43188E-01    0.42641E-03    0.18658E-03    0.59825E-03
   174    0.43436E-01    0.41623E-03    0.18265E-03    0.70885E-03
   175    0.43788E-01    0.40619E-03    0.17886E-03    0.81144E-03
   176    0.44236E-01    0.39630E-03    0.17522E-03    0.90607E-03
   177    0.44773E-01    0.38656E-03    0.17172E-03    0.99294E-03
   178    0.45392E-01    0.37697E-03    0.16836E-03    0.10723E-02
